"REF_DATE","GEO","DGUID","Type of fuel sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","New Brunswick","2016A000213","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74798","5.4","3875","","","","0"
"1990","Quebec","2016A000224","Net sales of gasoline","Litres","203","thousands","3","v74734","6.1","6982566","","","","0"
"1990","Quebec","2016A000224","Gross sales of gasoline","Litres","203","thousands","3","v74747","6.2","7085684","","","","0"
"1990","Quebec","2016A000224","Net sales of diesel oil","Litres","203","thousands","3","v74786","6.3","2179921","","","","0"
"1990","Quebec","2016A000224","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74799","6.4","3599","","","","0"
"1990","Ontario","2016A000235","Net sales of gasoline","Litres","203","thousands","3","v74735","7.1","11781900","","","","0"
"1990","Ontario","2016A000235","Gross sales of gasoline","Litres","203","thousands","3","v74748","7.2","12129200","","","","0"
"1990","Ontario","2016A000235","Net sales of diesel oil","Litres","203","thousands","3","v74787","7.3","0","","","","0"
"1990","Ontario","2016A000235","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74800","7.4","0","","","","0"
"1990","Manitoba","2016A000246","Net sales of gasoline","Litres","203","thousands","3","v74736","8.1","1298488","","","","0"
"1990","Manitoba","2016A000246","Gross sales of gasoline","Litres","203","thousands","3","v74749","8.2","1447936","","","","0"
"1990","Manitoba","2016A000246","Net sales of diesel oil","Litres","203","thousands","3","v74788","8.3","307649","","","","0"
"1990","Manitoba","2016A000246","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74801","8.4","27589","","","","0"
"1990","Saskatchewan","2016A000247","Net sales of gasoline","Litres","203","thousands","3","v74737","9.1","624141","","","","0"
"1990","Saskatchewan","2016A000247","Gross sales of gasoline","Litres","203","thousands","3","v74750","9.2","1714461","","","","0"
"1990","Saskatchewan","2016A000247","Net sales of diesel oil","Litres","203","thousands","3","v74789","9.3","483655","","","","0"
"1990","Saskatchewan","2016A000247","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74802","9.4","45764","","","","0"
"1990","Alberta","2016A000248","Net sales of gasoline","Litres","203","thousands","3","v74738","10.1","3788294","","","","0"
"1990","Alberta","2016A000248","Gross sales of gasoline","Litres","203","thousands","3","v74751","10.2","4317706","","","","0"
"1990","Alberta","2016A000248","Net sales of diesel oil","Litres","203","thousands","3","v74790","10.3","1156026","","","","0"
"1990","Alberta","2016A000248","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74803","10.4","0","","","","0"
"1990","British Columbia","2016A000259","Net sales of gasoline","Litres","203","thousands","3","v74728","11.1","3539953","","","","0"
"1990","British Columbia","2016A000259","Gross sales of gasoline","Litres","203","thousands","3","v74741","11.2","3693551","","","","0"
"1990","British Columbia","2016A000259","Net sales of diesel oil","Litres","203","thousands","3","v74780","11.3","971437","","","","0"
"1990","British Columbia","2016A000259","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74793","11.4","0","","","","0"
"1990","Yukon","2016A000260","Net sales of gasoline","Litres","203","thousands","3","v74729","12.1","57932","","","","0"
"1990","Yukon","2016A000260","Gross sales of gasoline","Litres","203","thousands","3","v74742","12.2","62967","","","","0"
"1990","Yukon","2016A000260","Net sales of diesel oil","Litres","203","thousands","3","v74781","12.3","26876","","","","0"
"1990","Yukon","2016A000260","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74794","12.4","0","","","","0"
"1990","Northwest Territories including Nunavut","2011A000261","Net sales of gasoline","Litres","203","thousands","3","v74730","13.1","33253","","","t","0"
"1990","Northwest Territories including Nunavut","2011A000261","Gross sales of gasoline","Litres","203","thousands","3","v74743","13.2","66647","","","t","0"
"1990","Northwest Territories including Nunavut","2011A000261","Net sales of diesel oil","Litres","203","thousands","3","v74782","13.3","38424","","","t","0"
"1990","Northwest Territories including Nunavut","2011A000261","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74795","13.4","0","","","t","0"
"1991","Canada","2016A000011124","Net sales of gasoline","Litres","203","thousands","3","v74726","1.1","30790427","","","","0"
"1991","Canada","2016A000011124","Gross sales of gasoline","Litres","203","thousands","3","v74739","1.2","32602163","","","","0"
"1991","Canada","2016A000011124","Net sales of diesel oil","Litres","203","thousands","3","v74778","1.3","5919996","","","","0"
"1991","Canada","2016A000011124","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74791","1.4","486723","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Net sales of gasoline","Litres","203","thousands","3","v74727","2.1","573614","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Gross sales of gasoline","Litres","203","thousands","3","v74740","2.2","594627","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Net sales of diesel oil","Litres","203","thousands","3","v74779","2.3","168815","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74792","2.4","1447","","","","0"
"1991","Prince Edward Island","2016A000211","Net sales of gasoline","Litres","203","thousands","3","v74731","3.1","168763","","","","0"
"1991","Prince Edward Island","2016A000211","Gross sales of gasoline","Litres","203","thousands","3","v74744","3.2","172147","","","","0"
"1991","Prince Edward Island","2016A000211","Net sales of diesel oil","Litres","203","thousands","3","v74783","3.3","28088","","","","0"
"1991","Prince Edward Island","2016A000211","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74796","3.4","502","","","","0"
"1991","Nova Scotia","2016A000212","Net sales of gasoline","Litres","203","thousands","3","v74732","4.1","1065925","","","","0"
"1991","Nova Scotia","2016A000212","Gross sales of gasoline","Litres","203","thousands","3","v74745","4.2","1082583","","","","0"
"1991","Nova Scotia","2016A000212","Net sales of diesel oil","Litres","203","thousands","3","v74784","4.3","264852","","","","0"
